Date,Competition,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Venue,Attendance,PossessionHome,PossessionAway,PassAccuracyHome,PassAccuracyAway
2025-03-29,Süper Lig,Beşiktaş,Galatasaray,2,1,Tüpraş Stadyumu,41843.0,54.0,46.0,82.0,79.6
2025-10-04,Süper Lig,Galatasaray,Beşiktaş,1,1,Rams Park,,,,,
